bv,mag,spec,o,b,a,f,g,k,m
0.863,5.894,K,0,0,0,0,0,1,0
0.52,4.106,G,0,0,0,0,1,0,0
0.091,-10.91,B,0,1,0,0,0,0,0
0.386,2.161,F,0,0,0,1,0,0,0
1.081,2.597,K,0,0,0,0,0,1,0
0.994,0.823,G,0,0,0,0,1,0,0
-0.047,-0.01,B,0,1,0,0,0,0,0
1.156,1.144,K,0,0,0,0,0,1,0
0.401,3.027,F,0,0,0,1,0,0,0
0.495,1.944,F,0,0,0,1,0,0,0
0.94,6.293,K,0,0,0,0,0,1,0
0.135,2.02,A,0,0,1,0,0,0,0
0.846,2.577,G,0,0,0,0,1,0,0
0.671,4.251,G,0,0,0,0,1,0,0
1.446,-0.337,K,0,0,0,0,0,1,0
1.068,6.687,K,0,0,0,0,0,1,0
1.524,-1.614,K,0,0,0,0,0,1,0
1.67,1.334,M,0,0,0,0,0,0,1
0.022,1.812,A,0,0,1,0,0,0,0
1.203,-1.194,K,0,0,0,0,0,1,0
0.529,1.525,F,0,0,0,1,0,0,0
0.566,4.08,G,0,0,0,0,1,0,0
0.642,5.363,G,0,0,0,0,1,0,0
1.107,-10.5,G,0,0,0,0,1,0,0
1.726,0.174,M,0,0,0,0,0,0,1
0.852,6.214,K,0,0,0,0,0,1,0
0.359,3.199,A,0,0,1,0,0,0,0
0.018,0.873,B,0,1,0,0,0,0,0
0.43,0.142,F,0,0,0,1,0,0,0
0.911,-0.588,G,0,0,0,0,1,0,0
1.566,-0.952,K,0,0,0,0,0,1,0
0.5,2.37,F,0,0,0,1,0,0,0
1.3,0.266,K,0,0,0,0,0,1,0
0.944,0.643,G,0,0,0,0,1,0,0
0.619,4.186,F,0,0,0,1,0,0,0
0.644,5.311,G,0,0,0,0,1,0,0
0.513,2.8,F,0,0,0,1,0,0,0
1.36,7.73,M,0,0,0,0,0,0,1
0.551,3.657,F,0,0,0,1,0,0,0
0.53,3.201,F,0,0,0,1,0,0,0
0.898,2.114,G,0,0,0,0,1,0,0
0.509,4.483,F,0,0,0,1,0,0,0
1.55,-0.223,M,0,0,0,0,0,0,1
0.538,3.085,F,0,0,0,1,0,0,0
0.543,4.392,F,0,0,0,1,0,0,0
0.455,0.524,F,0,0,0,1,0,0,0
0.97,-0.281,G,0,0,0,0,1,0,0
1.615,-0.576,M,0,0,0,0,0,0,1
1.315,-11.47,K,0,0,0,0,0,1,0
0.388,1.043,F,0,0,0,1,0,0,0
0.787,5.131,G,0,0,0,0,1,0,0
1.308,8.353,M,0,0,0,0,0,0,1
1.384,8.226,M,0,0,0,0,0,0,1
0.021,-11.07,A,0,0,1,0,0,0,0
0.654,2.595,G,0,0,0,0,1,0,0
0.16,0.399,A,0,0,1,0,0,0,0
0.435,3.11,F,0,0,0,1,0,0,0
1.093,-1.303,G,0,0,0,0,1,0,0
0.606,4.75,G,0,0,0,0,1,0,0
1.071,0.861,K,0,0,0,0,0,1,0
1.183,0.209,K,0,0,0,0,0,1,0
1.197,0.057,K,0,0,0,0,0,1,0
1.254,0.663,K,0,0,0,0,0,1,0
1.169,1.068,K,0,0,0,0,0,1,0
0.407,-4.293,F,0,0,0,1,0,0,0
0.366,1.966,F,0,0,0,1,0,0,0
0.969,0.672,G,0,0,0,0,1,0,0
0.182,2.251,A,0,0,1,0,0,0,0
0.559,3.204,F,0,0,0,1,0,0,0
1.08,1.713,K,0,0,0,0,0,1,0
0.2,2.643,A,0,0,1,0,0,0,0
0.358,2.231,F,0,0,0,1,0,0,0
0.545,0.022,F,0,0,0,1,0,0,0
0.264,0.282,A,0,0,1,0,0,0,0
0.62,5.142,G,0,0,0,0,1,0,0
1.153,0.318,K,0,0,0,0,0,1,0
-0.042,-1.617,B,0,1,0,0,0,0,0
1.074,1.742,K,0,0,0,0,0,1,0
1.289,1.922,B,0,1,0,0,0,0,0
0.546,3.794,F,0,0,0,1,0,0,0
1.35,1.647,K,0,0,0,0,0,1,0
0.73,3.451,K,0,0,0,0,0,1,0
1.364,0.76,K,0,0,0,0,0,1,0
1.033,7.058,K,0,0,0,0,0,1,0
-0.128,-0.589,B,0,1,0,0,0,0,0
0.306,1.842,A,0,0,1,0,0,0,0
1.569,-11.51,K,0,0,0,0,0,1,0
0.932,7.969,K,0,0,0,0,0,1,0
0.584,1.105,F,0,0,0,1,0,0,0
1.06,1.617,K,0,0,0,0,0,1,0
0.456,3.633,F,0,0,0,1,0,0,0
0.459,2.656,F,0,0,0,1,0,0,0
0.411,2.114,F,0,0,0,1,0,0,0
1.631,-1.24,M,0,0,0,0,0,0,1
0.283,2.456,A,0,0,1,0,0,0,0
0.1,1.225,B,0,1,0,0,0,0,0
0.903,2.274,G,0,0,0,0,1,0,0
0.999,1.158,K,0,0,0,0,0,1,0
0.292,2.952,A,0,0,1,0,0,0,0
-0.052,0.332,B,0,1,0,0,0,0,0
1.5,0.014,K,0,0,0,0,0,1,0
0.696,1.881,G,0,0,0,0,1,0,0
0.107,1.885,A,0,0,1,0,0,0,0
0.97,0.675,G,0,0,0,0,1,0,0
0.45,0.746,A,0,0,1,0,0,0,0
0.66,3.721,G,0,0,0,0,1,0,0
0.06,1.767,B,0,1,0,0,0,0,0
1.113,0.337,R,0,0,0,0,0,0,0
1.39,8.313,M,0,0,0,0,0,0,1
0.509,2.995,F,0,0,0,1,0,0,0
0.69,5.374,G,0,0,0,0,1,0,0
0.976,-0.665,O,1,0,0,0,0,0,0
0.248,0.55,A,0,0,1,0,0,0,0
1.035,2.23,G,0,0,0,0,1,0,0
0.923,1.116,G,0,0,0,0,1,0,0
0.53,2.188,K,0,0,0,0,0,1,0
0.172,2.046,A,0,0,1,0,0,0,0
0.556,2.787,F,0,0,0,1,0,0,0
0.534,2.826,G,0,0,0,0,1,0,0
1.171,1.184,K,0,0,0,0,0,1,0
1.832,-1.033,M,0,0,0,0,0,0,1
1.004,0.377,K,0,0,0,0,0,1,0
-0.15,-0.899,B,0,1,0,0,0,0,0
0.888,6.01,K,0,0,0,0,0,1,0
0.53,4.086,F,0,0,0,1,0,0,0
0.182,0.883,A,0,0,1,0,0,0,0
0.5,3.442,G,0,0,0,0,1,0,0
0.488,3.629,F,0,0,0,1,0,0,0
0.237,1.505,A,0,0,1,0,0,0,0
0.57,4.03,G,0,0,0,0,1,0,0
1.49,9.51,M,0,0,0,0,0,0,1
1.032,0.983,G,0,0,0,0,1,0,0
0.944,2.74,G,0,0,0,0,1,0,0
0.315,2.865,F,0,0,0,1,0,0,0
0.517,2.267,F,0,0,0,1,0,0,0
1.677,-11.05,K,0,0,0,0,0,1,0
0.952,-0.299,K,0,0,0,0,0,1,0
0.276,2.206,A,0,0,1,0,0,0,0
0.074,0.212,A,0,0,1,0,0,0,0
0.323,3.259,F,0,0,0,1,0,0,0
0.474,3.417,F,0,0,0,1,0,0,0
0.303,-0.573,F,0,0,0,1,0,0,0
0.981,1.221,K,0,0,0,0,0,1,0
1.274,-0.561,K,0,0,0,0,0,1,0
0.384,3.061,F,0,0,0,1,0,0,0
0.436,3.476,G,0,0,0,0,1,0,0
0.967,2.074,G,0,0,0,0,1,0,0
1.073,-14.13,G,0,0,0,0,1,0,0
0.085,-12.8,A,0,0,1,0,0,0,0
0.47,3.402,G,0,0,0,0,1,0,0
0.832,3.058,G,0,0,0,0,1,0,0
1.003,1.913,G,0,0,0,0,1,0,0
0.29,1.052,A,0,0,1,0,0,0,0
0.118,-0.436,A,0,0,1,0,0,0,0
1.8,0.952,M,0,0,0,0,0,0,1
0.016,0.879,A,0,0,1,0,0,0,0
1.005,0.664,G,0,0,0,0,1,0,0
0.602,3.599,F,0,0,0,1,0,0,0
0.18,1.288,A,0,0,1,0,0,0,0
0.483,1.877,F,0,0,0,1,0,0,0
1.113,0.724,K,0,0,0,0,0,1,0
1.01,1.307,K,0,0,0,0,0,1,0
0.617,4.022,G,0,0,0,0,1,0,0
0.489,3.707,F,0,0,0,1,0,0,0
0.254,-9.7,F,0,0,0,1,0,0,0
0.532,2.623,F,0,0,0,1,0,0,0
0.128,0.544,A,0,0,1,0,0,0,0
0.423,2.847,F,0,0,0,1,0,0,0
0.5,2.313,F,0,0,0,1,0,0,0
0.007,2.1,A,0,0,1,0,0,0,0
1.18,0.854,K,0,0,0,0,0,1,0
0.31,1.188,B,0,1,0,0,0,0,0
1.222,1.821,K,0,0,0,0,0,1,0
1.26,0.263,K,0,0,0,0,0,1,0
0.903,3.007,G,0,0,0,0,1,0,0
0.526,2.318,F,0,0,0,1,0,0,0
0.521,2.458,F,0,0,0,1,0,0,0
0.565,3.448,F,0,0,0,1,0,0,0
1.01,1.595,K,0,0,0,0,0,1,0
0.967,1.992,G,0,0,0,0,1,0,0
1.041,0.393,K,0,0,0,0,0,1,0
0.668,0.782,F,0,0,0,1,0,0,0
1.036,1.752,G,0,0,0,0,1,0,0
0.99,6.009,K,0,0,0,0,0,1,0
0.346,2.864,F,0,0,0,1,0,0,0
0.342,2.878,F,0,0,0,1,0,0,0
0.552,4.21,F,0,0,0,1,0,0,0
0.88,1.156,K,0,0,0,0,0,1,0
1.349,-11.35,K,0,0,0,0,0,1,0
1.082,-9.7,K,0,0,0,0,0,1,0
1.176,-0.085,K,0,0,0,0,0,1,0
0.051,0.678,A,0,0,1,0,0,0,0
0.421,3.147,F,0,0,0,1,0,0,0
0.461,2.772,F,0,0,0,1,0,0,0
0.081,2.23,A,0,0,1,0,0,0,0
1.122,0.418,K,0,0,0,0,0,1,0
1.455,0.449,M,0,0,0,0,0,0,1
0.432,3.534,F,0,0,0,1,0,0,0
0.424,2.636,F,0,0,0,1,0,0,0
0.422,2.746,F,0,0,0,1,0,0,0
1.473,9.713,M,0,0,0,0,0,0,1
1.174,1.392,K,0,0,0,0,0,1,0
1.125,0.49,K,0,0,0,0,0,1,0
1.688,-10.94,K,0,0,0,0,0,1,0
0.455,3.122,F,0,0,0,1,0,0,0
1.462,-11.82,K,0,0,0,0,0,1,0
1.125,1.213,G,0,0,0,0,1,0,0
0.146,0.748,A,0,0,1,0,0,0,0
0.232,2.633,A,0,0,1,0,0,0,0
0.979,0.757,G,0,0,0,0,1,0,0
0.041,1.759,A,0,0,1,0,0,0,0
0.332,-3.174,B,0,1,0,0,0,0,0
0.439,3.309,F,0,0,0,1,0,0,0
0.636,3.666,G,0,0,0,0,1,0,0
0.353,2.875,F,0,0,0,1,0,0,0
-0.023,-1.081,B,0,1,0,0,0,0,0
0.12,-11.31,B,0,1,0,0,0,0,0
0.134,1.105,A,0,0,1,0,0,0,0
1.655,0.413,M,0,0,0,0,0,0,1
1.408,-0.993,K,0,0,0,0,0,1,0
0.353,1.651,A,0,0,1,0,0,0,0
0.956,-0.038,G,0,0,0,0,1,0,0
1.212,-1.386,K,0,0,0,0,0,1,0
1.006,-10.77,K,0,0,0,0,0,1,0
1.538,0.588,K,0,0,0,0,0,1,0
1.071,1.758,K,0,0,0,0,0,1,0
1.011,1.325,K,0,0,0,0,0,1,0
0.563,3.722,F,0,0,0,1,0,0,0
-0.123,-0.179,A,0,0,1,0,0,0,0
-0.019,0.315,A,0,0,1,0,0,0,0
0.488,3.697,F,0,0,0,1,0,0,0
0.401,2.493,F,0,0,0,1,0,0,0
0.397,2.041,F,0,0,0,1,0,0,0
0.78,5.29,G,0,0,0,0,1,0,0
0.06,1.102,A,0,0,1,0,0,0,0
1.015,0.117,K,0,0,0,0,0,1,0
0.508,3.259,F,0,0,0,1,0,0,0
-0.047,-0.058,B,0,1,0,0,0,0,0
0.244,1.564,A,0,0,1,0,0,0,0
1.629,-0.814,M,0,0,0,0,0,0,1
0.316,1.583,A,0,0,1,0,0,0,0
0.136,1.952,A,0,0,1,0,0,0,0
0.741,4.304,G,0,0,0,0,1,0,0
0.616,4.222,G,0,0,0,0,1,0,0
1.26,7.159,M,0,0,0,0,0,0,1
0.303,2.668,F,0,0,0,1,0,0,0
0.23,1.692,A,0,0,1,0,0,0,0
0.7,4.814,G,0,0,0,0,1,0,0
0.456,2.294,F,0,0,0,1,0,0,0
0.36,-11.41,B,0,1,0,0,0,0,0
0.406,2.959,F,0,0,0,1,0,0,0
0.54,2.481,G,0,0,0,0,1,0,0
0.657,3.824,F,0,0,0,1,0,0,0
0.355,1.028,F,0,0,0,1,0,0,0
0.314,1.772,F,0,0,0,1,0,0,0
1.115,1.566,G,0,0,0,0,1,0,0
0.26,-11.81,O,1,0,0,0,0,0,0
0.607,4.028,G,0,0,0,0,1,0,0
0.992,0.74,G,0,0,0,0,1,0,0
0.491,2.696,F,0,0,0,1,0,0,0
1.003,1.798,K,0,0,0,0,0,1,0
0.615,4.382,F,0,0,0,1,0,0,0
1.692,0.615,M,0,0,0,0,0,0,1
0.39,0.512,A,0,0,1,0,0,0,0
-0.085,0.342,B,0,1,0,0,0,0,0
0.699,4.592,G,0,0,0,0,1,0,0
0.274,-14.1,A,0,0,1,0,0,0,0
0.882,2.833,G,0,0,0,0,1,0,0
0.563,2.461,F,0,0,0,1,0,0,0
0.16,1.856,A,0,0,1,0,0,0,0
0.08,-11.21,B,0,1,0,0,0,0,0
0.253,2.331,A,0,0,1,0,0,0,0
1.68,0.04,K,0,0,0,0,0,1,0
0.75,5.119,G,0,0,0,0,1,0,0
1.45,-9.34,B,0,1,0,0,0,0,0
0.037,1.477,A,0,0,1,0,0,0,0
0.484,3.665,F,0,0,0,1,0,0,0
1.069,-10.56,G,0,0,0,0,1,0,0
0.549,4.18,G,0,0,0,0,1,0,0
1.084,0.993,K,0,0,0,0,0,1,0
1.5,4.318,M,0,0,0,0,0,0,1
0.006,0.898,A,0,0,1,0,0,0,0
1.031,2.188,K,0,0,0,0,0,1,0
-0.089,-1.136,B,0,1,0,0,0,0,0
0.64,4.806,G,0,0,0,0,1,0,0
-0.058,0.459,B,0,1,0,0,0,0,0
0.855,6.559,K,0,0,0,0,0,1,0
1.001,1.139,K,0,0,0,0,0,1,0
1.619,-4.044,K,0,0,0,0,0,1,0
0.611,3.639,G,0,0,0,0,1,0,0
0.444,2.469,F,0,0,0,1,0,0,0
1.025,-0.824,G,0,0,0,0,1,0,0
0.639,5.33,G,0,0,0,0,1,0,0
1.162,2.95,K,0,0,0,0,0,1,0
1.036,1.922,K,0,0,0,0,0,1,0
1.169,-0.424,K,0,0,0,0,0,1,0
1.149,1.616,K,0,0,0,0,0,1,0
1.181,0.777,K,0,0,0,0,0,1,0
0.159,-1.824,B,0,1,0,0,0,0,0
0.239,0.862,A,0,0,1,0,0,0,0
1.249,1.107,K,0,0,0,0,0,1,0
0.95,0.101,K,0,0,0,0,0,1,0
1.26,-0.812,K,0,0,0,0,0,1,0
1.021,-9.18,M,0,0,0,0,0,0,1
1.072,0.662,K,0,0,0,0,0,1,0
1.508,0.032,K,0,0,0,0,0,1,0
1.1,0.776,K,0,0,0,0,0,1,0
0.881,2.103,K,0,0,0,0,0,1,0
-0.1,-0.631,B,0,1,0,0,0,0,0
0.422,2.559,F,0,0,0,1,0,0,0
1.051,0.845,K,0,0,0,0,0,1,0
0.792,3.11,G,0,0,0,0,1,0,0
-0.014,-0.04,A,0,0,1,0,0,0,0
0.368,2.726,F,0,0,0,1,0,0,0
0.433,2.171,F,0,0,0,1,0,0,0
0.376,2.485,A,0,0,1,0,0,0,0
0.735,4.559,G,0,0,0,0,1,0,0
0.652,-10.9,B,0,1,0,0,0,0,0
0.556,-0.66,F,0,0,0,1,0,0,0
0.394,2.844,A,0,0,1,0,0,0,0
0.002,1.565,A,0,0,1,0,0,0,0
0.43,2.107,G,0,0,0,0,1,0,0
0.478,2.652,F,0,0,0,1,0,0,0
0.964,0.349,K,0,0,0,0,0,1,0
0.632,3.124,G,0,0,0,0,1,0,0
0.036,0.666,A,0,0,1,0,0,0,0
1.256,1.022,K,0,0,0,0,0,1,0
0.082,-0.04,A,0,0,1,0,0,0,0
0.025,-3.012,B,0,1,0,0,0,0,0
1.368,-0.255,K,0,0,0,0,0,1,0
0.755,5.713,G,0,0,0,0,1,0,0
1.614,0.904,K,0,0,0,0,0,1,0
0.475,2.608,F,0,0,0,1,0,0,0
0.674,4.212,G,0,0,0,0,1,0,0
1.201,-11.85,K,0,0,0,0,0,1,0
0.55,3.21,F,0,0,0,1,0,0,0
1.57,-11.37,M,0,0,0,0,0,0,1
0.71,4.948,G,0,0,0,0,1,0,0
0.986,1.482,G,0,0,0,0,1,0,0
0.461,3.157,F,0,0,0,1,0,0,0
0.946,0.343,G,0,0,0,0,1,0,0
1.54,-10.17,K,0,0,0,0,0,1,0
1.3,2.698,F,0,0,0,1,0,0,0
0.537,4.181,G,0,0,0,0,1,0,0
0.889,-11.36,G,0,0,0,0,1,0,0
0.415,3.896,F,0,0,0,1,0,0,0
0.759,4.063,G,0,0,0,0,1,0,0
1.099,0.607,G,0,0,0,0,1,0,0
-0.067,-0.929,B,0,1,0,0,0,0,0
0.86,1.975,G,0,0,0,0,1,0,0
0.577,4.418,G,0,0,0,0,1,0,0
1.288,-0.064,K,0,0,0,0,0,1,0
0.437,0.783,F,0,0,0,1,0,0,0
0.593,3.954,G,0,0,0,0,1,0,0
0.068,1.003,A,0,0,1,0,0,0,0
1.124,0.191,K,0,0,0,0,0,1,0
0.51,-10.63,F,0,0,0,1,0,0,0
0.644,3.718,G,0,0,0,0,1,0,0
1.472,9.694,M,0,0,0,0,0,0,1
1.128,1.658,K,0,0,0,0,0,1,0
0.496,1.012,F,0,0,0,1,0,0,0
0.174,1.94,A,0,0,1,0,0,0,0
1.037,-10.52,K,0,0,0,0,0,1,0
0.692,1.098,F,0,0,0,1,0,0,0
0.538,4.42,F,0,0,0,1,0,0,0
1.076,7.485,K,0,0,0,0,0,1,0
0.998,1.442,G,0,0,0,0,1,0,0
0.991,-12.05,G,0,0,0,0,1,0,0
-0.006,0.934,B,0,1,0,0,0,0,0
0.94,0.332,G,0,0,0,0,1,0,0
-0.06,1.964,B,0,1,0,0,0,0,0
1.029,1.627,K,0,0,0,0,0,1,0
1.462,10.373,M,0,0,0,0,0,0,1
1.156,-0.617,K,0,0,0,0,0,1,0
0.191,2.152,A,0,0,1,0,0,0,0
1.052,0.638,G,0,0,0,0,1,0,0
1.093,1.043,K,0,0,0,0,0,1,0
1.12,0.444,G,0,0,0,0,1,0,0
0.782,4.037,G,0,0,0,0,1,0,0
1.199,1.807,K,0,0,0,0,0,1,0
0.46,1.357,G,0,0,0,0,1,0,0
0.599,1.236,F,0,0,0,1,0,0,0
1.045,0.335,K,0,0,0,0,0,1,0
0.99,1.451,K,0,0,0,0,0,1,0
1.123,1.548,K,0,0,0,0,0,1,0
1.62,-1.878,M,0,0,0,0,0,0,1
1.444,0.312,K,0,0,0,0,0,1,0
0.666,5.275,G,0,0,0,0,1,0,0
0.735,5.853,G,0,0,0,0,1,0,0
0.494,2.924,F,0,0,0,1,0,0,0
0.446,3.607,F,0,0,0,1,0,0,0
0.995,-10.55,G,0,0,0,0,1,0,0
0.501,-7.96,A,0,0,1,0,0,0,0
1.249,0.617,K,0,0,0,0,0,1,0
1.174,-0.662,K,0,0,0,0,0,1,0
0.725,3.624,G,0,0,0,0,1,0,0
0.993,0.898,K,0,0,0,0,0,1,0
1.444,-0.094,K,0,0,0,0,0,1,0
-0.18,-1.208,B,0,1,0,0,0,0,0
1.537,1.15,K,0,0,0,0,0,1,0
1.187,0.022,K,0,0,0,0,0,1,0
1.41,7.933,K,0,0,0,0,0,1,0
0.247,2.29,A,0,0,1,0,0,0,0
0.636,4.615,G,0,0,0,0,1,0,0
0.901,0.26,G,0,0,0,0,1,0,0
0.353,4.157,A,0,0,1,0,0,0,0
0.524,0.784,F,0,0,0,1,0,0,0
1.1,1.627,K,0,0,0,0,0,1,0
0.923,-9.93,G,0,0,0,0,1,0,0
0.677,4.341,G,0,0,0,0,1,0,0
0.414,2.213,F,0,0,0,1,0,0,0
0.097,2.342,A,0,0,1,0,0,0,0
0.787,-10.34,G,0,0,0,0,1,0,0
0.045,1.647,A,0,0,1,0,0,0,0
0.507,2.874,F,0,0,0,1,0,0,0
0.617,4.459,G,0,0,0,0,1,0,0
0.646,4.675,G,0,0,0,0,1,0,0
0.595,4.533,G,0,0,0,0,1,0,0
1.19,1.374,K,0,0,0,0,0,1,0
0.596,4.601,F,0,0,0,1,0,0,0
0.51,3.937,G,0,0,0,0,1,0,0
0.585,4.535,F,0,0,0,1,0,0,0
0.92,5.73,K,0,0,0,0,0,1,0
1.564,-0.392,K,0,0,0,0,0,1,0
0.3,1.719,A,0,0,1,0,0,0,0
0.239,1.036,A,0,0,1,0,0,0,0
0.915,-10.29,G,0,0,0,0,1,0,0
1.812,-0.016,M,0,0,0,0,0,0,1
1.357,0.817,K,0,0,0,0,0,1,0
1.531,-1.16,K,0,0,0,0,0,1,0
0.93,-0.573,G,0,0,0,0,1,0,0
1.112,0.482,K,0,0,0,0,0,1,0
0.126,-12.64,O,1,0,0,0,0,0,0
-0.039,-11.34,A,0,0,1,0,0,0,0
1.576,-0.154,K,0,0,0,0,0,1,0
0.912,-0.323,G,0,0,0,0,1,0,0
0.633,5.174,G,0,0,0,0,1,0,0
0.501,3.107,F,0,0,0,1,0,0,0
1.108,2.251,G,0,0,0,0,1,0,0
-0.03,1.26,B,0,1,0,0,0,0,0
1,-0.424,K,0,0,0,0,0,1,0
0.418,2.857,F,0,0,0,1,0,0,0
0.509,2.707,F,0,0,0,1,0,0,0
1.612,-11.43,M,0,0,0,0,0,0,1
0.476,2.7,F,0,0,0,1,0,0,0
0.687,4.32,G,0,0,0,0,1,0,0
0.459,1.707,F,0,0,0,1,0,0,0
1.539,-1.52,M,0,0,0,0,0,0,1
1.22,1.52,K,0,0,0,0,0,1,0
0.519,3.649,G,0,0,0,0,1,0,0
1.55,11.055,M,0,0,0,0,0,0,1
0.487,3.09,F,0,0,0,1,0,0,0
1.086,1.549,K,0,0,0,0,0,1,0
0.256,0.958,F,0,0,0,1,0,0,0
1.431,0.768,K,0,0,0,0,0,1,0
0.593,3.297,F,0,0,0,1,0,0,0
0.402,1.548,F,0,0,0,1,0,0,0
0.624,3.211,G,0,0,0,0,1,0,0
-0.023,-1.554,B,0,1,0,0,0,0,0
0.526,3.247,F,0,0,0,1,0,0,0
1.045,-0.188,G,0,0,0,0,1,0,0
1.349,-0.556,K,0,0,0,0,0,1,0
0.59,4.161,F,0,0,0,1,0,0,0
1.39,0.64,M,0,0,0,0,0,0,1
0.41,2.738,F,0,0,0,1,0,0,0
1.008,6.829,K,0,0,0,0,0,1,0
0.426,3.237,F,0,0,0,1,0,0,0
0.986,0.631,G,0,0,0,0,1,0,0
0.578,4.437,F,0,0,0,1,0,0,0
0.112,1.252,A,0,0,1,0,0,0,0
0.506,-9.7,F,0,0,0,1,0,0,0
0.752,5.391,K,0,0,0,0,0,1,0
1.107,1.022,K,0,0,0,0,0,1,0
1.038,1.075,G,0,0,0,0,1,0,0
0.548,2.339,F,0,0,0,1,0,0,0
1.233,-1.718,K,0,0,0,0,0,1,0
0.148,-11.38,B,0,1,0,0,0,0,0
0.587,1.572,G,0,0,0,0,1,0,0
0.69,5.201,G,0,0,0,0,1,0,0
0.494,3.576,F,0,0,0,1,0,0,0
0.574,2.988,F,0,0,0,1,0,0,0
0.41,2.126,F,0,0,0,1,0,0,0
1.631,-0.542,K,0,0,0,0,0,1,0
-0.09,-11,F,0,0,0,1,0,0,0
0.386,3.213,F,0,0,0,1,0,0,0
0.951,1.352,G,0,0,0,0,1,0,0
1.107,0.835,K,0,0,0,0,0,1,0
0.58,1.075,F,0,0,0,1,0,0,0
0.567,3.341,F,0,0,0,1,0,0,0
1.125,1.615,K,0,0,0,0,0,1,0
1.123,-0.893,K,0,0,0,0,0,1,0
1.234,-0.189,K,0,0,0,0,0,1,0
0.58,4.536,G,0,0,0,0,1,0,0
0.402,4.957,F,0,0,0,1,0,0,0
1.114,0.995,G,0,0,0,0,1,0,0
0.955,0.586,G,0,0,0,0,1,0,0
0.446,2.142,F,0,0,0,1,0,0,0
0.51,3.803,B,0,1,0,0,0,0,0
0.05,1.413,A,0,0,1,0,0,0,0
0.761,5.643,G,0,0,0,0,1,0,0
0.387,2.642,F,0,0,0,1,0,0,0
1.552,-11.7,M,0,0,0,0,0,0,1
0.494,1.124,F,0,0,0,1,0,0,0
0.203,2.12,A,0,0,1,0,0,0,0
0.19,2.712,A,0,0,1,0,0,0,0
0.295,1.784,A,0,0,1,0,0,0,0
0.529,3.771,F,0,0,0,1,0,0,0
0.061,2.284,A,0,0,1,0,0,0,0
0.512,4.733,G,0,0,0,0,1,0,0
0.405,2.092,F,0,0,0,1,0,0,0
0.333,2.862,F,0,0,0,1,0,0,0
0.345,1.457,A,0,0,1,0,0,0,0
1.552,0.867,M,0,0,0,0,0,0,1
1.054,1.419,K,0,0,0,0,0,1,0
0.323,2.475,A,0,0,1,0,0,0,0
0.226,2.693,A,0,0,1,0,0,0,0
0.503,4.787,F,0,0,0,1,0,0,0
0.419,3.048,F,0,0,0,1,0,0,0
0.407,1.032,F,0,0,0,1,0,0,0
1.441,0.155,K,0,0,0,0,0,1,0
0.599,4.368,F,0,0,0,1,0,0,0
